labels,X,Y
Fp1,0.118809645,0.038603594
AF7,0.10106552,0.073428399
AF3,0.10889987,0.050780843
F1,0.088783005,0.035870662
F3,0.084128518,0.068125931
F5,0.079213045,0.091124184
F7,0.073428399,0.10106552
FT7,0.038603594,0.118809645
FC5,0.042603522,0.110985969
FC3,0.04495451,0.084547137
FC1,0.046838688,0.046838688
C1,2.99E-18,0.048841391
C3,5.50E-18,0.089917475
C5,7.15E-18,0.116697553
T7,7.65E-18,0.124923853
TP7,-0.038603594,0.118809645
CP5,-0.042603522,0.110985969
CP3,-0.04495451,0.084547137
CP1,-0.046838688,0.046838688
P1,-0.088783005,0.035870662
P3,-0.084128518,0.068125931
P5,-0.079213045,0.091124184
P7,-0.073428399,0.10106552
P9,-0.072820427,0.086784006
PO7,-0.10106552,0.073428399
PO3,-0.10889987,0.050780843
O1,-0.118809645,0.038603594
Iz,-0.113288473,-1.39E-17
Oz,-0.124923853,-1.53E-17
POz,-0.116697553,-1.43E-17
Pz,-0.089917475,-1.10E-17
CPz,-0.048841391,-5.99E-18
Fpz,0.124923853,0
Fp2,0.118809645,-0.038603594
AF8,0.10106552,-0.073428399
AF4,0.10889987,-0.050780843
AFz,0.116697553,0
Fz,0.089917475,0
F2,0.088783005,-0.035870662
F4,0.084128518,-0.068125931
F6,0.079213045,-0.091124184
F8,0.073428399,-0.10106552
FT8,0.038603594,-0.118809645
FC6,0.042603522,-0.110985969
FC4,0.04495451,-0.084547137
FC2,0.046838688,-0.046838688
FCz,0.048841391,0
Cz,4.69E-34,-7.65E-18
C2,2.99E-18,-0.048841391
C4,5.50E-18,-0.089917475
C6,7.15E-18,-0.116697553
T8,7.65E-18,-0.124923853
TP8,-0.038603594,-0.118809645
CP6,-0.042603522,-0.110985969
CP4,-0.04495451,-0.084547137
CP2,-0.046838688,-0.046838688
P2,-0.088783005,-0.035870662
P4,-0.084128518,-0.068125931
P6,-0.079213045,-0.091124184
P8,-0.073428399,-0.10106552
P10,-0.072820427,-0.086784006
PO8,-0.10106552,-0.073428399
PO4,-0.10889987,-0.050780843
O2,-0.118809645,-0.038603594
